seq,wall_ms,timeCode,eventType,deviceType,userEvent,origReturn,latched
187,102542,1399,4,2,,1,1
188,102555,1400,1,1,,0,0
189,102555,1401,4,2,,1,1
190,102569,1402,1,1,,0,0
191,102569,1403,4,2,,1,1
192,102582,1404,1,1,,0,0
193,102582,1405,4,2,,1,1
194,102595,1406,1,1,,0,0
195,102595,1407,4,2,,1,1
196,102607,1408,1,1,,0,0
197,102607,1409,2,1,,0,0
198,102607,1410,4,2,,1,1
199,102619,1411,1,1,,0,0
200,102620,1412,4,2,,1,1
201,102632,1413,1,1,,0,0
202,102632,1414,2,1,,0,0
203,102632,1415,4,2,,1,1
204,102643,1416,1,1,,0,0
205,102643,1417,2,1,,0,0
206,102653,1418,1,1,,0,0
207,102653,1419,2,1,,0,0
208,102664,1420,1,1,,0,0
209,102674,1421,1,1,,0,0
210,102674,1422,2,1,,0,0
211,102674,1423,4,2,,1,1
212,102684,1424,1,1,,0,0
213,102684,1425,2,1,,0,0
214,102684,1426,4,2,,1,1
215,102695,1427,1,1,,0,0
216,102695,1428,4,2,,1,1
217,102706,1429,4,2,,1,1
218,102716,1430,1,1,,0,0
219,102716,1431,4,2,,1,1
220,102728,1432,1,1,,0,0
221,102728,1433,2,1,,0,0
222,102728,1434,4,2,,1,1
223,102739,1435,1,1,,0,0
224,102739,1436,4,2,,1,1
225,102751,1437,1,1,,0,0
226,102751,1438,2,1,,0,0
227,102751,1439,4,2,,1,1
228,102763,1440,1,1,,0,0
229,102763,1441,2,1,,0,0
230,102763,1442,4,2,,1,1
231,102775,1443,1,1,,0,0
232,102775,1444,4,2,,1,1
233,102787,1445,1,1,,0,0
234,102787,1446,4,2,,1,1
235,102799,1447,1,1,,0,0
236,102799,1448,4,2,,1,1
237,102812,1449,1,1,,0,0
238,102812,1450,4,2,,1,1
239,102824,1451,1,1,,0,0
240,102824,1452,4,2,,1,1
241,102837,1453,1,1,,0,0
242,102837,1454,4,2,,1,1
243,102850,1455,1,1,,0,0
244,102850,1456,4,2,,1,1
245,102863,1457,1,1,,0,0
246,102863,1458,4,2,,1,1
247,102876,1459,1,1,,0,0
248,102876,1460,2,1,,0,0
249,102876,1461,4,2,,1,1
250,102889,1462,4,2,,1,1
251,102902,1463,1,1,,0,0
252,102902,1464,2,1,,0,0
253,102902,1465,4,2,,1,1
254,102915,1466,1,1,,0,0
255,102915,1467,4,2,,1,1
256,102929,1468,1,1,,0,0
257,102929,1469,2,1,,0,0
258,102929,1470,4,2,,1,1
259,102942,1471,1,1,,0,0
260,102942,1472,2,1,,0,0
261,102942,1473,4,2,,1,1
262,102955,1474,1,1,,0,0
263,102955,1475,2,1,,0,0
264,102955,1476,4,2,,1,1
265,102968,1477,1,1,,0,0
266,102968,1478,2,1,,0,0
267,102968,1479,4,2,,1,1
268,102982,1480,1,1,,0,0
269,102982,1481,2,1,,0,0
270,102982,1482,4,2,,1,1
271,102995,1483,1,1,,0,0
272,102995,1484,2,1,,0,0
273,102995,1485,4,2,,1,1
274,103008,1486,1,1,,0,0
275,103008,1487,2,1,,0,0
276,103008,1488,4,2,,1,1
277,103022,1489,1,1,,0,0
278,103022,1490,2,1,,0,0
279,103022,1491,4,2,,1,1
280,103036,1492,1,1,,0,0
281,103036,1493,2,1,,0,0
282,103036,1494,4,2,,1,1
283,103050,1495,1,1,,0,0
284,103050,1496,2,1,,0,0
285,103050,1497,4,2,,1,1
286,103064,1498,1,1,,0,0
287,103064,1499,2,1,,0,0
288,103064,1500,4,2,,1,1
289,103079,1501,1,1,,0,0
290,103079,1502,2,1,,0,0
291,103079,1503,4,2,,1,1
292,103094,1504,1,1,,0,0
293,103094,1505,2,1,,0,0
294,103094,1506,4,2,,0,1
295,103094,1507,4,2,,1,1
296,103109,1508,1,1,,0,0
297,103109,1509,2,1,,0,0
298,103109,1510,4,2,,0,1
299,103109,1511,4,2,,1,1
300,103125,1512,1,1,,0,0
301,103125,1513,2,1,,0,0
302,103125,1514,4,2,,0,1
303,103125,1515,4,2,,1,1
304,103142,1516,1,1,,0,0
305,103142,1517,2,1,,0,0
306,103142,1518,4,2,,0,1
307,103142,1519,4,2,,1,1
308,103158,1520,1,1,,0,0
309,103158,1521,2,1,,0,0
310,103158,1522,4,2,,0,1
311,103158,1523,4,2,,1,1
312,103174,1524,1,1,,0,0
313,103174,1525,2,1,,0,0
314,103174,1526,4,2,,0,1
315,103190,1527,1,1,,0,0
316,103190,1528,2,1,,0,0
317,103190,1529,4,2,,0,1
318,103206,1530,1,1,,0,0
319,103206,1531,4,2,,0,1
320,103221,1532,4,2,,0,1
321,103237,1533,4,2,,0,1
322,103252,1534,4,2,,0,1
323,103267,1535,4,2,,0,1
324,103281,1536,4,2,,0,1
325,103295,1537,4,2,,0,1
326,103308,1538,4,2,,0,1
327,103321,1539,4,2,,0,1
